,ZIPCODE,Normalized_Height
0,11436,21.2280350779948
1,11213,30.24688480898878
2,11212,26.234810985926583
3,11225,30.387931756483013
4,11218,27.00404935738627
5,11226,31.225809216099755
6,11219,28.44861533193952
7,11210,24.401227083452152
8,11230,26.60702575938331
9,11204,24.409089350230666
10,10471,30.211813820765286
11,10470,26.183584186325948
12,10466,25.202990581556453
13,10467,30.908101473930305
14,10463,35.739760834601114
15,10475,37.96354774387522
16,10464,21.79497018830886
17,10469,24.955434680458342
18,10468,40.691824780655736
19,10463,35.739760834601114
20,10458,38.80610846452207
21,10034,47.294259830463254
22,10033,58.35057011854061
23,10462,29.55932290514758
24,10040,54.88780710045361
25,10453,38.962129982392
26,10465,24.006561229923744
27,10464,21.79497018830886
28,10464,21.79497018830886
29,10461,25.280675457970112
30,10457,36.57971496740171
31,10460,32.02253721354068
32,10032,61.37016864725759
33,10452,42.47022457765517
34,10456,40.25894088768435
35,10472,26.80720919366594
36,10031,55.73662648308485
37,10039,64.94714352085293
38,10459,33.483610443009056
39,10451,47.07751736546329
40,10473,25.912043925167872
41,10030,50.16852307262907
42,10027,58.33359905156454
43,10474,25.41762251129502
44,10455,36.94021595108402
45,10037,64.3755035514879
46,10024,73.43045608863216
47,10454,38.80665689587903
48,10026,59.203287716731616
49,10035,48.72221633035857
50,10048,350.10370655875
51,10025,75.96256715404667
52,11357,22.190256317058697
53,10029,64.6872098240874
54,00083,22.48527686735849
55,11356,24.1031078389677
56,11359,29.3980868415
57,11360,24.625722120848224
58,11105,23.36178773970356
59,10128,76.29610920289375
60,10023,89.26633829649533
61,11363,23.534732148294264
62,10028,76.79154660823575
63,11354,26.4104130716891
64,11102,29.54290030056896
65,11370,22.871393877963612
66,10021,84.723973516664
67,11358,22.213837538696115
68,11362,23.942276915858123
69,10044,90.55764850875
70,11369,21.84535579123477
71,11103,26.56131913902448
72,11106,28.39998292168796
73,11368,25.586673522002265
74,11377,25.8277855329621
75,11355,25.236468594463666
76,11101,37.4027873814675
77,11364,22.219202545899915
78,10018,131.28288221724085
79,10020,251.04142857142855
80,11005,32.091714760102036
81,10017,176.50355388367842
82,10001,105.90832708370048
83,10011,66.91819982942134
84,10016,93.35483021195898
85,11104,29.0631048198066
86,11109,157.46041907
87,10010,103.8277629459542
88,11367,24.79339606174069
89,10014,52.52057118333333
90,10003,70.11889487711122
91,11222,34.265228108803846
92,10002,63.22774481315905
93,11378,21.89205765694912
94,10009,57.90312036393981
95,10012,67.33318359961919
96,10013,74.34804577839074
97,10007,140.0679598265611
98,11237,32.14205692598718
99,11385,23.477585674509243
100,10038,118.13623440504023
101,11206,38.60142308145367
102,10006,237.8969462696491
103,11412,20.888874091284606
104,10005,330.014176848209
105,11251,39.739222882741934
106,10004,94.29049208679687
107,11411,19.223969614047533
108,11201,53.940629653111294
109,10004,94.29049208679687
110,11205,40.25900002748693
111,11208,25.270620052542057
112,11207,27.210068659121198
113,10004,94.29049208679687
114,10004,94.29049208679687
115,11413,19.92200001714447
116,11217,41.963287108930864
117,11238,39.96119835457401
118,11231,36.210419083664426
119,11422,20.98177544781994
120,11420,20.516136693099412
121,11417,21.136107330104302
122,11215,36.3080077687515
123,11231,36.210419083664426
124,11232,30.334657203215492
125,11430,30.72740829420091
126,11203,22.17578142608197
127,11239,39.801414975265395
128,11236,24.74619791337908
129,11220,29.580633832656073
130,10301,26.54606823950493
131,10303,24.950765055939733
132,11234,22.745729606563735
133,10302,24.054917141958356
134,11693,24.357717278652753
135,11209,25.444754822439027
136,10304,25.987347696541462
137,10314,24.814995703135498
138,11228,22.91623343783607
139,11096,23.1279071072
140,10305,24.761128865697703
141,11229,23.63768555754743
142,11214,25.479494900344516
143,11691,25.555559493144063
144,11096,23.1279071072
145,11223,23.906754726095564
146,11693,24.357717278652753
147,11692,28.767945962646706
148,11235,26.344216070895364
149,11693,24.357717278652753
150,10306,23.60089600977114
151,11694,23.484005869593652
152,11224,27.21668484968331
153,10308,24.2060659275
154,11697,21.345611668845088
155,10312,25.48785286649556
156,10309,26.599937353443305
157,10307,25.362221928540883
158,10280,190.03706670444444
159,11372,29.9273591148225
160,11004,20.558202068199744
161,11040,20.19430133140594
162,11426,20.256811427087694
163,11365,21.21252581327002
164,11001,19.47481012949762
165,11375,25.577344561369415
166,11427,21.717652526166304
167,11374,24.31698290046596
168,11366,19.958735678685787
169,11423,22.00909284737695
170,11428,20.417139666930627
171,11432,24.09584066335149
172,11379,22.051972952090697
173,11429,20.602796875782836
174,11435,23.748521788149194
175,11415,26.74835714045098
176,11418,23.884354922030585
177,11433,23.106046913238444
178,11451,48.797247416666664
179,11221,34.47421549645402
180,11421,23.506375341033728
181,11419,21.59576902960905
182,11434,21.356134444139535
183,11216,39.03089162295305
184,11416,22.44022624263658
185,11233,33.120429426372844
186,10055,585.37
187,10019,109.65268050912223
188,10111,511.42
189,10153,690.17
190,10154,630.31
191,10152,531.0
192,10115,242.4281422
193,10022,121.31254083797373
194,11370,22.871393877963612
195,10065,81.24812046454545
196,10075,81.25720046754967
197,10069,287.5833756480953
198,10281,524.3515222133334
199,10282,229.3785217481818
200,11211,37.444508288706466
201,11373,26.589789167617816
202,10279,780.0
203,10165,669.14
204,10168,618.0
205,10105,643.39
206,10118,1238.79032716
207,10176,419.67
208,10170,389.27
209,10112,436.005
210,10122,292.530502
211,10107,318.36
212,10103,480.59
213,10174,490.29
214,10166,157.0
215,10169,473.31549171
216,10167,612.43
217,10177,268.0
218,10172,696.0
219,10171,572.78957763
220,10270,817.78
221,10104,568.15
222,10271,544.0
223,10110,704.76
224,10175,463.19041058
225,10151,438.0
226,10173,
227,10178,630.64
228,10121,164.53736002666668
229,10123,561.141043
230,10106,592.22
231,10158,520.66
232,10041,711.0
233,10120,336.69
234,10278,346.41189213
235,10155,502.68
236,10043,344.17
237,10081,820.30621785
238,10096,626.74
239,10097,665.35
240,10196,295.0
241,10196,295.0
242,10275,336.6
243,10265,495.7951924
244,10045,257.22
245,10047,137.0
246,10047,137.0
247,10080,551.300379305
248,10203,657.87
249,10259,678.75
250,10260,709.33
251,10285,739.53371898
252,10286,495.57990608
253,10035,48.72221633035857
254,11371,34.100508884374996
255,11361,22.207985463587924
256,10036,95.48114238962962
257,11414,23.428501136637994
258,10310,23.945252164734654
259,11693,24.357717278652753
260,11249,42.920836981436494
261,10162,158.42
262,10119,257.17045666666667
